DATE,DTP30A28
2024-08-26,1.73
2024-08-27,1.74
2024-08-28,1.74
2024-08-29,1.76
2024-08-30,1.8
2024-09-02,.
2024-09-03,1.79
2024-09-04,1.76
2024-09-05,1.76
2024-09-06,1.7
2024-09-09,1.67
2024-09-10,1.64
2024-09-11,1.62
2024-09-12,1.6
2024-09-13,1.53
2024-09-16,1.51
2024-09-17,1.52
2024-09-18,1.5
