Date,Predicted Prices
2024-10-20,4859.11271446228
2024-10-27,4763.11151268959
2024-11-03,4612.848048548698
2024-11-10,4427.10332085371
2024-11-17,4223.1970083642
2024-11-24,4014.115470640659
2024-12-01,3809.182037477493
2024-12-08,3614.8087693321704
2024-12-15,3435.135565053224
2024-12-22,3272.5525140511986
2024-12-29,3128.1250693964957
2025-01-05,3001.9287236380574
2025-01-12,2893.324486272335
2025-01-19,2801.1804379630084
2025-01-26,2724.0543076294657
2025-02-02,2660.3390652197595
2025-02-09,2608.3768638807533
2025-02-16,2566.5431485044955
2025-02-23,2533.30597130239
2025-03-02,2507.2633864063023
2025-03-09,2487.163729699254
2025-03-16,2471.9118903237577
2025-03-23,2460.567376478314
2025-03-30,2452.3341755020615
2025-04-06,2446.548562531471
2025-04-13,2442.6636854845283
2025-04-20,2440.2339742082354
2025-04-27,2438.9007218706606
2025-05-04,2438.378076638579
2025-05-11,2438.440674497485
2025-05-18,2438.9123270916934
2025-05-25,2439.6574057269095
2025-06-01,2440.5724012094734
2025-06-08,2441.579945399165
2025-06-15,2442.622481088638
2025-06-22,2443.65886249423
2025-06-29,2444.660369624495
2025-07-06,2445.607425995469
2025-07-13,2446.488309161663
2025-07-20,2447.2962787169217
2025-07-27,2448.0289315599202
2025-08-03,2448.6866779762504
2025-08-10,2449.2721555161474
2025-08-17,2449.788998137712
2025-08-24,2450.2421878802775
2025-08-31,2450.6369998443124
2025-09-07,2450.978591905832
2025-09-14,2451.272649450898
2025-09-21,2451.5244475799796
2025-09-28,2451.7387338834997
2025-10-05,2451.9204317885633
2025-10-12,2452.0737027633186
2025-10-19,2452.202356602549
2025-10-26,2452.3099100399013
2025-11-02,2452.3994695234296
2025-11-09,2452.4737898278236
2025-11-16,2452.535156829953
2025-11-23,2452.5857391822337
2025-11-30,2452.627119414806
2025-12-07,2452.660938670039
2025-12-14,2452.688545029163
2025-12-21,2452.7099971044063
2025-12-28,2452.7265843647715
2026-01-04,2452.7391273814437
2026-01-11,2452.7483881133794
2026-01-18,2452.755069907307
2026-01-25,2452.7597588855024
2026-02-01,2452.762923945784
2026-02-08,2452.7649167615173
2026-02-15,2452.7659131693836
2026-02-22,2452.766323454976
2026-03-01,2452.766089006066
2026-03-08,2452.765678720474
2026-03-15,2452.7649753737446
2026-03-22,2452.7640375781057
2026-03-29,2452.7630411702394
2026-04-05,2452.7620447623726
2026-04-12,2452.7611069667337
2026-04-19,2452.7601691710947
2026-04-26,2452.7593485999105
2026-05-03,2452.7584108042715
2026-05-10,2452.7576488453146
2026-05-17,2452.7569454985855
2026-05-24,2452.756300764084
2026-05-31,2452.7557146418094
2026-06-07,2452.7552457439897
2026-06-14,2452.7547182339426
2026-06-21,2452.7543079483507
2026-06-28,2452.7540148872135
2026-07-05,2452.7537804383037
2026-07-12,2452.7534873771665
2026-07-19,2452.7531943160293
2026-07-26,2452.7530770915746
2026-08-02,2452.7529598671194
2026-08-09,2452.7527254182096
2026-08-16,2452.7526668059822
2026-08-23,2452.7525495815275
2026-08-30,2452.7524323570724
2026-09-06,2452.7524323570724
2026-09-13,2452.752373744845
2026-09-20,2452.7523151326177
2026-09-27,2452.7523151326177
2026-10-04,2452.7522565203903
2026-10-11,2452.7523151326177
2026-10-18,2452.7522565203903
2026-10-25,2452.7522565203903
2026-11-01,2452.7522565203903
2026-11-08,2452.7522565203903
2026-11-15,2452.752197908163
2026-11-22,2452.752139295935
2026-11-29,2452.752197908163
2026-12-06,2452.752197908163
2026-12-13,2452.752197908163
2026-12-20,2452.752197908163
2026-12-27,2452.752197908163
2027-01-03,2452.752197908163
2027-01-10,2452.752197908163
2027-01-17,2452.752197908163
2027-01-24,2452.752139295935
2027-01-31,2452.752197908163
